# id	left	top	right	bottom	texture_id
[SPRITES]
## [BUSH, 5 CELLS - LAST IS no outline]
5000801	128	0	143	15	50
5000802	128	18	143	33	50
5000803	146	0	161	15	50
5000804	146	18	161	33	50
5000805	164	0	179	15	50

## [BLACK BUSH, 5 CELLS - LAST IS no outline]
5000811	256	0	271	15	50
5000812	256	18	271	33	50
5000813	274	0	289	15	50
5000814	274	18	289	33	50
5000815	292	0	307	15	50

## [WHITE CLOUD, 6 CELLS, 16px]
5000821	0	0	15	15	50
5000822	0	16	15	31	50
5000823	16	0	31	15	50
5000824	16	16	31	31	50
5000825	32	0	47	15	50
5000826	32	16	47	31	50

## [DECOR FLOWER, STAR, MUSHROOM]
5000831	0	32	15	47	50
5000832	16	32	31	47	50
5000833	32	32	47	47	50

## [[COLOR]]
### blue
5000901	192	208	207	223	50
### blue-black
5000902	210	208	225	223	50
### black	
5000903	228	208	243	223	50

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
