# id	left	top	right	bottom	texture_id
[SPRITES]
##	[[GROUND 1-1, 6 cells]]
3000001	63	0	78	15	50
3000002	63	18	78	33	50
3000003	81	0	96	15	50
3000004	81	18	96	33	50
3000005	99	0	114	15	50
3000006	99	18	114	33	50

## [[GLASS 1-1, 1 cells]]
3000011	192	90 	208	106	50

## [[CLOUD]]
3000021	18	54	34	70	50

##	[[SOLID WOOD]]
3000031	81	198	96	213	50

## [[SOLID ISLAND LIFT TOP]]
3001001	192	279	207	294	50
3001002	192	297	207	312	50
3001003	210	279	225	294	50
3001004	210	297	225	312	50
3001005	228	279	243	294	50
3001006	228	297	243	312	50

## [[SEMISOLID FLIMSY LIFT ]]
3003001	320	224	335	239	50
3003002	338	224	353	239	50
3003003	356	224	371	239	50  

## [[SEMISOLID BIG BLOCK, 9 cells]]
### [[WHITE]]
3000101	0	72	15	87	50
3000102	0	90	15	105	50
3000103	0	108	15	123	50
3000104	18	72	33	87	50
3000105	18	90	33	105	50
3000106	18	108	33	123	50
3000107	36	72	51	87	50
3000108	36	90	51	105	50
3000109	36	108	51	123	50

### [[GREEN]]
3000111	128	72	143	87	50
3000112	128	90	143	105	50
3000113	128	108	143	123	50
3000114	146	72	161	87	50
3000115	146	90	161	105	50
3000116	146	108	161	123	50
3000117	164	72	179	87	50
3000118	164	90	179	105	50
3000119	164	108	179	123	50

### [[YELLOW]]
3000121	63	36	78	51	50
3000122	63	54	78	69	50
3000123	63	72	78	87	50
3000124	81	36	96	51	50
3000125	81	54	96	69	50
3000126	81	72	96	87	50
3000127	99	36	114	51	50
3000128	99	54	114	69	50
3000129	99	72	114	87	50

### [[Light Blue]]
3000131	320	18	335	33	50
3000132	320	36	335	51	50
3000133	320	54	335	69	50
3000134	338	18	353	33	50
3000135	338	36	353	51	50
3000136	338	54	353	69	50
3000137	356	18	381	33	50
3000138	356	36	381	51	50
3000139	356	54	381	69	50

### [[PLAIN BLACK]]
3000191	384	18	399	33	50
3000192	384	36	399	51	50
3000193	384	54	399	69	50
3000194	402	18	417	33	50
3000195	402	36	417	51	50
3000196	402	54	417	69	50
3000197	420	18	435	33	50
3000198	420	36	435	51	50
3000199	420	54	435	69	50

###	[[SEMISOLID SEEMED LIFT]]
3000201	192	238	207	253	50
3000202	192	256	207	271	50
3000203	210	238	225	253	50
3000204	210	256	225	271	50
3000205	228	238	243	253	50
3000206	228	256	243	271	50


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
